Judge,Business On Date,Hearing Date,Purpose of hearing

,15-01-2013,14-02-2014, Report in final form
,14-02-2014,01-08-2014, Report in final form
,01-08-2014,02-04-2015, Report in final form
,02-04-2015,06-11-2015, Report in final form
,06-11-2015,22-06-2016, Report in final form
,22-06-2016,15-11-2016, Report in final form
,15-11-2016,16-06-2017, Report in final form
CJM,16-06-2017,28-11-2017, Report in final form
CJM,28-11-2017,23-07-2018, Report in final form
CJM,23-07-2018,01-11-2018, Report in final form
CJM,01-11-2018,19-03-2019, Report in final form
CJM,19-03-2019,11-06-2019, for appearance of SHO and report
CJM,11-06-2019,29-11-2019, for appearance of SHO and report
CJM,29-11-2019,11-06-2020, For Compliance Report
CJM,11-06-2020,23-10-2023, For Compliance Report
CJM,23-10-2023,21-03-2024, For Charge Sheet
