Judge,Business On Date,Hearing Date,Purpose of hearing

,21-09-2012,15-01-2013, Executionof W.A/WPA
,15-01-2013,06-02-2014, For E/R of W.P.A
,06-02-2014,16-07-2014, For E/R of W/A
,16-07-2014,13-03-2015, For E/R of W/A
,13-03-2015,16-07-2015, For E/R of W/A
,16-07-2015,13-01-2016, For E/R of W/A
,13-01-2016,19-08-2016, For E/R of W/A
,19-08-2016,13-02-2017, For E/R of W/A
CJM,13-02-2017,13-09-2017, For E/R of W/A
CJM,13-09-2017,06-11-2017, for report
JM II,06-11-2017,08-02-2018, For appearence
JM II,08-02-2018,11-06-2018, for report
JM II,11-06-2018,26-09-2018, For E/R of W/A
JM II,26-09-2018,14-12-2018, For E/R of W/A
JM II,14-12-2018,01-03-2019, For E/R of W/A
JM II,01-03-2019,28-06-2019, For E/R of W/A
JM II,28-06-2019,23-10-2019, For E/R of W/A
JM II,23-10-2019,10-01-2020, For E/R of W/A
JM II,10-01-2020,11-03-2020, For E/R of W/A
JM II,11-03-2020,26-06-2020, For E/R of W/A
JM II,26-06-2020,20-10-2020, For E/R of W/A
JM II,20-10-2020,10-02-2021, For E/R of W/A
JM II,10-02-2021,26-07-2021, For E/R of W/A
JM II,26-07-2021,01-12-2021, For E/R of W/A
JM II,01-12-2021,29-03-2022, For E/R of W/A
JM II,29-03-2022,25-07-2022, For E/R of W/A
JM II,25-07-2022,10-11-2022, For E/R of W/A
