Judge,Business On Date,Hearing Date,Purpose of hearing

,06-11-2012,08-01-2013, Evidence
,08-01-2013,08-04-2013, For cross examination of PW2
,08-04-2013,17-07-2013, For cross examination of PW2
,17-07-2013,06-11-2013, Evidence
,06-11-2013,07-04-2014, Evidence
,07-04-2014,03-09-2014, Evidence
,03-09-2014,02-01-2015, Evidence
,02-01-2015,24-04-2015, Evidence
,24-04-2015,28-07-2015, Evidence
,28-07-2015,29-09-2015, Evidence
,29-09-2015,22-12-2015, Evidence
,22-12-2015,05-04-2016, Evidence
,05-04-2016,05-08-2016, Evidence
,05-08-2016,20-10-2016, Evidence
,20-10-2016,11-01-2017, Evidence
CJM,11-01-2017,17-04-2017, Evidence
CJM,17-04-2017,07-07-2017, Evidence
CJM,07-07-2017,23-10-2017, Evidence
CJM,23-10-2017,13-11-2017, Evidence
CJM,13-11-2017,14-11-2017, Evidence
CJM,14-11-2017,05-01-2018, Evidence
CJM,05-01-2018,10-04-2018, Evidence
CJM,10-04-2018,02-08-2018, Evidence
CJM,02-08-2018,14-11-2018, Evidence
CJM,14-11-2018,05-02-2019, Evidence
CJM,05-02-2019,03-06-2019, Evidence
CJM,03-06-2019,22-08-2019, Evidence
CJM,22-08-2019,25-11-2019, Evidence
CJM,25-11-2019,27-02-2020, Evidence
CJM,27-02-2020,22-06-2020, Evidence
CJM,22-06-2020,29-09-2020, Evidence
CJM,29-09-2020,28-01-2021, Evidence
CJM,28-01-2021,29-06-2021, Evidence
CJM,29-06-2021,03-09-2021, Evidence
CJM,03-09-2021,08-10-2021, Evidence
CJM,08-10-2021,18-01-2022, Evidence
CJM,18-01-2022,24-03-2022, Evidence
CJM,24-03-2022,16-06-2022, Evidence
CJM,16-06-2022,31-08-2023, Evidence
CJM,31-08-2023,29-09-2023, Evidence
CJM,29-09-2023,20-11-2023, Evidence
CJM,20-11-2023,19-12-2023, Evidence
CJM,19-12-2023,19-02-2024, Evidence
CJM,19-02-2024,04-03-2024, Evidence
CJM,04-03-2024,05-03-2024, Evidence
CJM,05-03-2024,06-06-2024, Evidence
