Judge,Business On Date,Hearing Date,Purpose of hearing

,05-10-2012,01-03-2013, For SDT
,01-03-2013,02-08-2013, Evidence
,02-08-2013,06-12-2013, Evidence
,06-12-2013,18-04-2014, Evidence
,18-04-2014,01-09-2014, Evidence
,01-09-2014,30-12-2014, Evidence
,30-12-2014,20-04-2015, Evidence
,20-04-2015,30-09-2015, For E/R
,30-09-2015,23-12-2015, For E/R of W/A
,23-12-2015,21-04-2016, For E/R
,21-04-2016,21-10-2016, For E/R
,21-10-2016,20-01-2017, For E/R of W/A
CJM,20-01-2017,30-06-2017, For E/R of W/A
CJM,30-06-2017,26-10-2017, For E/R of W/A
CJM,26-10-2017,09-03-2018, For E/R of W/A
CJM,09-03-2018,13-09-2018, For E/R
CJM,13-09-2018,08-02-2019, For E/R
CJM,08-02-2019,27-06-2019, For E/R
CJM,27-06-2019,26-11-2019, For E/R
CJM,26-11-2019,07-04-2020, For E/R
CJM,07-04-2020,16-09-2020, For E/R
CJM,16-09-2020,08-07-2021, For E/R
,08-07-2021,21-02-2022, For E/R
CJM,21-02-2022,07-06-2022, For E/R
CJM,07-06-2022,16-09-2022, For E/R
CJM,16-09-2022,30-12-2022, For E/R
CJM,30-12-2022,05-04-2023, For E/R
CJM,05-04-2023,07-08-2023, For E/R
CJM,07-08-2023,10-11-2023, For E/R
CJM,10-11-2023,12-02-2024, For E/R
CJM,12-02-2024,03-07-2024, For E/R
